Textos_espanol,sdg
"Además, este estímulo de reasignación era sencillo y sus costes de transacción bajos. De hecho, gestionar un mecanismo eficaz para controlar el cumplimiento por parte de los numerosos agricultores de la cuenca de Zhang He (que sólo poseen una pequeña fracción del total de tierras cultivadas) habría sido imposible. Una de sus mayores ventajas es que reducen la dependencia de la extracción directa de suministros de agua dulce y, por tanto, son especialmente adecuados para zonas en las que existen importantes barreras políticas, económicas y medioambientales a la obtención de nuevas fuentes de abastecimiento de agua (véase en el recuadro 4.4 un ejemplo en el sur de California). La zona está sometida a un gran estrés hídrico y es vulnerable a sequías graves.",6
"Se han producido o están previstos aumentos significativos de las tarifas del agua en todos los sectores, y los precios más bajos de los efluentes y el agua salobre fomentan su uso para el riego. Cada año se asigna una cuota de agua potable al sector agrario; los agricultores que optan por canjear parte de esta cuota por fuentes alternativas pueden asegurarse el volumen de aguas residuales que adquirirán a un precio fijo. La utilización de estos datos por parte de la OCDE se entiende sin perjuicio del estatuto de los Altos del Golán, Jerusalén Este y los asentamientos israelíes en Cisjordania en virtud del derecho internacional.",6
"Sin embargo, a menos que se llegue a un acuerdo, nuevos acontecimientos podrían desencadenar tensiones entre los dos países. Aunque la Comisión Permanente del Indo tiene el deber de implementar y monitorear las actividades del Tratado de las Aguas del Indo, es débil en las capacidades de investigación necesarias para respuestas basadas en evidencia a los problemas de los recursos hídricos (Babel y Wahid 2009). En esta situación, las instituciones crediticias internacionales como el Banco Mundial continúan desempeñando un papel clave en la promoción de la cooperación junto con la agenda política hacia una mayor participación y gestión del agua por parte del sector privado. La construcción en 2004 del proyecto hidroeléctrico Baglihar en el río Chenab en Jammu y Cachemira fue uno de esos casos: el Banco Mundial nombró a un experto neutral para arbitrar los problemas que surgieron con Pakistán, que continúa lanzando protestas por el desvío de agua por parte de India (Dinar et al.. Aunque Tayikistán se encuentra río arriba en el Amu Darya y Kirguistán controla el flujo del Syr Darya, la mitad de la población de la cuenca del mar de Aral vive en Uzbekistán.",6
"Creado por el Departamento de Agua y Saneamiento (DWS) en 2003, el WLSG no es un foro formal de toma de decisiones, sino una plataforma destinada a compartir información, fomentar una visión común, influir en las políticas y crear consenso. Los miembros incluyen representantes de alto nivel de departamentos gubernamentales relevantes, como Gobernanza Cooperativa y Asuntos Tradicionales, Asuntos Ambientales, Agricultura, Energía, Asentamientos Humanos, Recursos Minerales, Comercio e Industria, así como la Comisión de Planificación, la Presidencia y el Tesoro Nacional. Otros miembros incluyen instituciones de agua tales como agencias de gestión de cuencas, juntas de agua y asociaciones de usuarios de agua.",6
"Todas estas fuentes de contaminación del agua aumentan los costos de tratamiento y tienen implicaciones para la salud pública y los ecosistemas naturales. Según Alkins-Koo et al. (Solo el 23 por ciento de la población cuenta con un sistema central de tratamiento de aguas residuales y estos están ubicados en los principales centros urbanos de Puerto España, San Fernando y Arima (EMA, 2004).",6
"Un desafío en los próximos años será garantizar que la programación federal y estatal se adhiera a esa priorización. En el caso de los programas de abastecimiento de agua y saneamiento, las condiciones para recibir apoyo incluyen la existencia de un acuerdo formal entre los gobiernos estatal y federal para la acción conjunta, y presentar un programa anual aprobado por el Comité Estatal de Planificación y Desarrollo (COPLADE) o el organismo a nivel estatal encargado de la planificación del abastecimiento de agua y saneamiento. Los subsidios para las actividades de tratamiento de aguas residuales deben aplicarse primero para garantizar que las plantas de tratamiento de aguas residuales respaldadas operen a un mínimo del 90 % antes de que puedan aplicarse a otras inversiones.",6
"El Informe de la OCDE de 2009, relativo a la calidad del agua y las aguas residuales, explica por qué Grecia ha experimentado graves retrasos en la aplicación de la Directiva de la UE sobre aguas residuales urbanas y en la gestión de las aguas residuales. El informe recomienda encarecidamente la mejora de la gestión de las aguas residuales, de conformidad con la Directiva de la UE sobre aguas residuales urbanas, la reducción de la contaminación del agua por sustancias peligrosas y los vertidos ilegales de aguas residuales, así como una mejor asignación, para garantizar que el agua fluya hacia los usos de mayor valor. Para más información, véase el capítulo 3 y las recomendaciones del Taller de la OCDE sobre la mejora de la base de información para orientar mejor la toma de decisiones sobre la gestión de los recursos hídricos, Zaragoza, España, 4-7 de mayo de 2010, www.oecd.org/water/workshop2010.",6
"El objetivo del Gobierno vuelve a ser cobrar gradualmente a la industria el coste del suministro de agua para 2050. El objetivo final es tratar casi el 100% de las aguas residuales hasta un nivel que permita su uso sin restricciones en el riego (es decir, sin riesgo de sobrenutriciÃ³n del suelo y las fuentes de agua). En 2009, el 92% de los efluentes cumplían las normas nacionales.20 A partir de 2010, las nuevas normas exigen que la calidad de los efluentes cumpla 36 parámetros, incluidas las concentraciones de cloruro.",6
"En los ríos con tratamiento de aguas residuales ocurre lo contrario, bajo contenido de amonio y mayor concentración de nitrato (<= 5 mg/l). Se observó una tendencia general hacia un aumento en las concentraciones de nutrientes después de asentamientos más grandes. Las concentraciones de fosfato medidas hasta 2 mg/1 en los ríos están más allá del bien y del mal y son una vez más una señal de falta de tratamiento de aguas residuales.",6
"Su importancia como factor de presión, según Bielorrusia, es local pero grave. Los productos químicos se transportan al río desde las instalaciones agrícolas, y la pesca en estanques es una fuente importante de contaminación. En Lituania, la industria se localiza principalmente en Alytus, Kaunas y Vilnius, y en Bielorrusia, sobre todo en torno a Grodno (evaluada como local y moderada por Bielorrusia).",6
"En los embalses de la cascada del Dniéper se observa una disminución de las concentraciones medias anuales de cesio-137 y estroncio-90. Según la clasificación de los recursos hídricos adoptada en Bielorrusia, el 76,1% del agua de la cuenca se clasifica como ""relativamente limpia"", el 19,7% como ""moderadamente contaminada"", el 1,4% como ""contaminada"" y el 2,8% como ""sucia"". Los principales contaminantes son los nutrientes (compuestos nitrogenados), las sustancias orgánicas (incluidos los fenoles) y los metales pesados. ",6
"El río fluye entre colinas escarpadas y tiene muchos rápidos. Desemboca en el fiordo Varangcrfjord, en el mar de Barents, y se sabe que es bueno para la pesca recreativa, en particular de salmón. Según el seguimiento a largo plazo y la clasificación rusa de la calidad del agua, el embalse superior de Tuloma y los ríos Notta y Lutto pueden calificarse de ligeramente contaminados.",6
"Como resultado, los vertidos de las EDAR a los cuerpos de agua están contaminados por sustancias orgánicas, amonio y nitratos. Otro motivo del tratamiento deficiente de las aguas residuales es la gran capacidad de las plantas de tratamiento de aguas residuales en relación con las aguas residuales entrantes. Para un tratamiento más eficiente de las aguas residuales, se debe ajustar la capacidad de las PTAR, de esta manera, las aguas receptoras estarán en mejores condiciones y se podrán reducir los costos de operación.",6
"La eutrofización (discutida más adelante), la acidificación, la contaminación tóxica y los microcontaminantes ejercen presión sobre la salud humana, el costo del tratamiento del agua potable, el riego y el mantenimiento de los ecosistemas acuáticos. La calidad del agua que es demasiado mala para su uso exacerba el problema de la escasez de agua. Las cargas de contaminación de fuentes agrícolas y urbanas difusas (fertilizantes y pesticidas, escorrentía de superficies y caminos sellados, y productos farmacéuticos en desechos animales y humanos) son desafíos continuos en muchos países.",6
"El énfasis se pone principalmente en los niveles de nutrientes del agua del suelo, la acidificación, los metales pesados, los contaminantes orgánicos y la lixiviación de nutrientes del lugar. No obstante, algunos estudios han abordado estas cuestiones en distintos países nórdicos. Por ejemplo, se ha estudiado ampliamente el efecto de la tala final de masas forestales sobre la química del agua de escorrentía y el vertido, así como el efecto de las franjas arboladas a lo largo de los arroyos (zonas tampón) sobre la química del agua de escorrentía y los organismos acuáticos en el norte de Suecia. En Finlandia también se ha estudiado el papel de los terrenos forestales en la recarga artificial de los recursos de aguas subterráneas de alta calidad para compensar la extracción de agua.",6
"Esto hizo que el agua no fuera apta para la recarga artificial de aguas subterráneas, y la planta tuvo que cerrarse. Así pues, extremos meteorológicos opuestos tuvieron el mismo impacto práctico, lo que pone de relieve las posibles implicaciones del cambio climático para el control y la gestión de la recarga artificial de aguas subterráneas con agua de río. El aumento de las temperaturas puede provocar la extensión hacia el norte del cultivo de toda una serie de productos. Es probable que los veranos más calurosos y secos aumenten la demanda de riego suplementario estacional, tanto dentro como fuera de las tierras de regadío existentes. Los estudios de modelización realizados en la cuenca del Guadalquivir sugieren un aumento de las necesidades de riego estacional de entre el 15% y el 20% para la década de 2050, e incluso en el Reino Unido es probable que aumente la demanda de riego20 . Las opciones políticas para mitigar los impactos son importantes, y ya se están realizando algunos esfuerzos prometedores en varias de las principales cuencas transfronterizas: el Rin, el Mosa y el Danubio.",6
"A nivel federal, la Comisión Nacional del Agua (CONAGUA) es el principal organismo encargado de la planificación, la financiación y el establecimiento estratégico en materia de agua, pero no existe un marco general para la prestación de servicios hídricos, que, según la Constitución, es responsabilidad de los municipios, con distintos niveles de capacidad y recursos. La Ley de Aguas Nacionales de 1992 ha transferido gradualmente las responsabilidades en materia de recursos hídricos a 13 organismos de cuenca, que funcionan como organismos de ejecución de la CONAGUA. Aunque se han logrado algunos avances en la gestión de las interdependencias entre las partes interesadas y en la creación de un marco general para la gestión de los recursos hídricos, aún queda mucho por hacer para superar la dispersión del marco regulador de los servicios de agua. Las unidades de riego suelen operar sin identidad jurídica y no están organizadas para expresar sus preocupaciones. ",6
"Desde entonces, el crecimiento de la población y las demandas agrícolas están aumentando las presiones sobre los recursos hídricos y las descargas de aguas residuales no tratadas, amenazando muchos ecosistemas acuáticos. Se estima que la población de Marruecos crecerá en más de 10 millones para 2050 y la demanda de alimentos y agua aumentará en consecuencia. Esta creciente exposición y sensibilidad a los problemas del agua y la limitada capacidad de adaptación empeorarán la vulnerabilidad de Marruecos con respecto al agua. Un enfoque de gobernanza multinivel reforzado en términos de legislación, instituciones y empoderamiento de la comunidad garantizaría que se alcance la planificación y gestión sostenibles de los recursos hídricos y los servicios hídricos.",6
"La primera es utilizar un costo promedio simple de suministro de desalinización de $ 1.15/m3 como una estimación de trabajo para el costo de suministro de desalinización. Esta cifra se basa en un ejercicio de evaluación comparativa de 51 plantas de desalinización por ósmosis inversa de agua de mar36 que condujo a un costo de suministro promedio similar y en estudios anteriores que han adoptado un enfoque de estimación de los costos de suministro.37 El costo de suministro es independiente del tipo de tecnología y el agua de alimentación porque los costos informados no son tratables. El segundo método para calcular el costo es utilizar un método basado en el costo de la energía. La primera es la energía eléctrica que se produce a partir de una gran cantidad de fuentes de combustible, incluidos el carbón, el petróleo, el gas natural, el combustible nuclear, la energía solar fotovoltaica y la energía eólica.38 Las plantas de ósmosis inversa usan solo energía eléctrica, mientras que MSF y MED usan algo de energía eléctrica. La energía térmica puede derivarse de muchas de las mismas fuentes de combustible que la energía eléctrica, incluidos el petróleo y el gas natural, o de fuentes alternativas como la energía solar térmica.39 Las plantas MSF y MED utilizan principalmente energía térmica, mientras que las plantas de OI no utilizan ninguna energía térmica. . Informe sobre desalación de agua, vol.",6
"Muchas plantas de tratamiento de aguas residuales son ineficientes ya que el agua tratada que descargan en los cuerpos de agua excede significativamente los MAC para amonio, nitritos, sustancias orgánicas, cobre, cromo y productos derivados del petróleo. Si bien la contaminación del suelo en los antiguos vertederos de pesticidas y en los antiguos aeródromos agrícolas ha ido disminuyendo, aún supera sustancialmente los MAC en términos de pesticidas clororgánicos. Las áreas de tierras agrícolas contaminadas por nitratos y fosfatos han ido en aumento en Uzbekistán.",6
"Tres ensenadas (Lido, Malamocco y Chioggia), de 10 a 15 metros de profundidad y de 450 a 900 metros de ancho, conectan la laguna y el norte del mar Adriático. La excursión promedio de la marea es de entre 80 y 30 centímetros (incluidas las condiciones de marea viva y muerta) y los intercambios de agua a través de las ensenadas delimitan tres patrones de circulación a gran escala (norte, centro y sur de la laguna). Aguas abiertas y poco profundas, incluidos los arroyos naturales y los canales excavados.",6
"Otro ejemplo es el enfoque de almacenamiento y recuperación (S&R, por sus siglas en inglés) en la conservación de aguas subterráneas empleado por la ciudad de Tucson, Arizona, que tiene el doble propósito de almacenar agua subterránea para uso futuro mientras se repone el agua subterránea ya bombeada (ver Cuadro 4.7). Este enfoque también indica una notable capacidad para adaptarse a las demandas de la comunidad. Las ciudades y las empresas industriales han pagado a los agricultores para fomentar prácticas, como la inundación de arrozales, que ayudan a recuperar el acuífero. La ciudad de Ono en la prefectura de Fukui, Japón, que recibió el Gran Premio del Agua de Japón en 2012, fue una de las primeras en adoptar la recarga de agua subterránea a través del almacenamiento en arrozales a fines de la década de 1970.",6
"La precipitación media anual es muy significativa, en torno a los 1.250 l/m2. Los recursos totales se estiman en 38 000 millones de m3, de los cuales 36 000 millones de m3 son internos y solo 2 000 millones de m3 son externos (excluyendo aguas arriba del río Sava). Se considera que el agua dulce renovable total es de 9.781 m3/año per cápita (FAO Aquastat, 2015).",6
"El evento nacional, â€œUna gota de agua es un grano de oroâ€ , es ampliamente celebrado todos los aÃ±os a principios de abril. Existe un entendimiento público generalizado de que el agua debe administrarse económicamente de manera sólida. Durante la década pasada quedó claro que habría escasez de agua si el volumen de agua en el río Amu Darya disminuyera debido al método tradicional de uso del agua.",6
"El aumento previsto de la frecuencia e intensidad de los fenómenos meteorológicos extremos y de los caudales elevados causado por el cambio climático puede provocar la resuspensión de los contaminantes almacenados en los sedimentos. Se trata de un problema grave que provoca la pérdida de biodiversidad acuática en ríos, lagos y humedales, dificulta el uso humano del agua (por ejemplo, agua potable, actividades recreativas, pesca, natación) y también puede afectar a la salud humana (véase más adelante y el capítulo 4 sobre biodiversidad). La contaminación eutrofizante procede de fuentes puntuales (sistemas de aguas residuales urbanas) y difusas (principalmente escorrentía de tierras agrícolas). A continuación se analiza cada una de ellas. ",6
"Las tarifas de riego son igualmente muy bajas, pero esto forma parte de problemas más generales en este sector. Las deficiencias institucionales, agravadas por una mala gestión crónica y una inversión insuficiente, han provocado una gran degradación de las infraestructuras de riego y drenaje. Sin embargo, los daños medioambientales se estiman según metodologías que se remontan a la época soviética.",6
"El ejercicio de identificación de puntos conflictivos realizado en el capítulo 2 muestra que cada vez hay más pruebas en torno a una serie de futuros riesgos relacionados con el agua en todo el mundo. Las incertidumbres en la evaluación siguen siendo significativas, pero es probable que en los próximos años se publiquen más y mejores estudios. Los ejercicios prospectivos pueden ayudar a anticipar escenarios complejos para la agricultura y explorar opciones para fortalecer la resiliencia (OCDE, 2016b). Consideran escenarios probables y acciones potenciales para mitigar los diferentes riesgos hídricos. A cada una de las acciones se le atribuye una ""fecha de caducidad"", que indica cuándo puede ser necesario un cambio en el curso de acción en cada opción. A continuación, proponen vías dinámicas eficientes para hacer frente a los riesgos y trabajar hacia las vías preferidas, cada una con una acción inicial, un umbral para el cambio de rumbo y la acción del siguiente paso.",6
"Si bien el capítulo se divide en subsecciones según el tipo de instrumento de política, en realidad se requiere una combinación de políticas para obtener resultados efectivos. Por ejemplo, se requieren instrumentos de información para determinar la carga máxima de nutrientes que una cuenca puede soportar antes de que se infrinjan ciertos indicadores de calidad del agua, se necesita la participación de las partes interesadas para determinar los riesgos aceptables y los resultados deseados del agua a nivel local, se requieren asignaciones reglamentarias de contaminación por nutrientes para difundir la contaminación antes de que se puedan establecer mercados para lograr la eficiencia económica, y se pueden requerir compensaciones para mejorar los resultados de equidad y el acuerdo de las partes interesadas. Este sistema, implementado por las Agencias del Agua, involucra a las partes interesadas a nivel de cuenca trabajando juntas en Comités de Cuenca para determinar el tamaño de los cargos a recaudar dentro de los límites legales nacionales.",6
"Al mismo tiempo, esto reduciría la presión sobre los recursos de aguas subterráneas tanto desde el punto de vista de la calidad como de la cantidad de agua. Sin embargo, debido al aumento de la población y a la demarcación de fronteras interestatales que limitaban la movilidad, esta práctica fue sustituida por la agricultura intensiva continua. En el marco del proyecto de recuperación de las prácticas de gestión de la tierra hima, se procuró empoderar a las comunidades locales transfiriéndoles los derechos de gestión. Los resultados también demostraron un aumento del crecimiento económico (por ejemplo, mediante el cultivo de plantas autóctonas de valor económico) y de la conservación de los recursos naturales en la cuenca del río Zarqa. Se organizaron talleres de capacitación para intercambiar información sobre las lecciones aprendidas y los retos planteados, así como campañas de concienciación para promover las cuestiones en juego.",6
"Se espera que los hallazgos de este informe de la OCDE contribuyan a futuros debates sobre el tema, aprovechando los fructíferos intercambios y diálogos con los representantes de la CNRH y la CTCOB durante los seminarios realizados por la delegación de la OCDE y la ANA en Brasil en septiembre de 2016 , febrero de 2017 y junio de 2017. Claramente, el cobro no privatiza el uso del agua que es un bien de dominio público inalienable (Bronzatto y Amorim, 2012). La Ley de Aguas implica que el agua es un bien de dominio público y un recurso natural limitado dotado de valor económico (art. La lógica detrás es que el agua es un bien escaso (económicamente escaso en términos relativos) por definición, reflejando tanto el agotamiento del agua debido a causas antropogénicas y naturales, así como múltiples usos competitivos alternativos, respectivamente en contextos de escasez y abundancia de agua.",6
"Estos incluyen externalidades, bienes públicos, costos marginales decrecientes, recursos de propiedad común e incertidumbre (Young, 1978). La presencia de estas fallas del mercado da lugar a una asignación ineficiente del agua y los recursos de capital relacionados en condiciones de mercado competitivas. El análisis económico de la gestión de los recursos hídricos públicos ha destacado durante mucho tiempo las fallas del mercado como justificación para la intervención pública en el desarrollo y la asignación de agua para riego.",6
"Las políticas europeas ponen más énfasis en la calidad del agua y los ecosistemas, la reducción de las invasiones de los ríos y el medio ambiente y la gobernanza inclusiva del agua. La tradición holandesa de respuestas de ingeniería al riesgo generalmente está en desacuerdo con esta dirección política. Los Países Bajos han mostrado un nivel de ambición relativamente bajo con respecto a la DMA, alegando que la mayoría de sus aguas son sistemas artificiales y que la restauración solo podría ser limitada.",6
"En primer lugar, las preocupaciones sobre el deterioro físico de los sistemas acuíferos incluyen cambios tanto en la cantidad como en la calidad del agua subterránea disponible (incluida la salinidad), así como el potencial de hundimiento irreversible de la tierra (p. ej., Konikow, 2013). En segundo lugar, las interacciones entre los sistemas de aguas subterráneas y superficiales también han sido un importante impulsor de los cambios en la política de aguas subterráneas. Por ejemplo, las preocupaciones sobre el agotamiento de los arroyos han llevado a la introducción de regulaciones sobre el uso de aguas subterráneas en varias cuencas fluviales transfronterizas en los Estados Unidos, incluido el río Pecos (entre Texas y Nuevo México), el río Arkansas (Kansas y Colorado) y el río Republican (Kansas, Nebraska y Colorado), así como en otros países como la cuenca del Guadalquivir en España. Los efectos adversos del agotamiento de la corriente en el hábitat de la corriente y las especies en peligro de extinción también han dado lugar a la adopción de medidas reglamentarias, por ejemplo, en varios estados de EE. UU.",6
